#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  3.248     2.27       0.228     0.092      0.086       0.062      1.0        
  2.717     2.13       0.465     0.048      0.037       0.032      1.0718113  
  2.93      2.282      0.516     0.077      0.044       0.052      1.0        
  3.192     2.33       0.466     0.068      0.03        0.046      1.0        
  3.416     2.379      0.161     0.048      0.018       0.032      1.0        
  3.247     2.239      0.248     0.091      0.056       0.062      1.0        
  3.22      2.297      0.37      0.077      0.042       0.052      1.0        
  3.167     2.293      0.339     0.084      0.031       0.057      1.0        
  3.42      2.281      0.096     0.089      0.08        0.06       1.2254902  
  3.456     2.2        0.125     0.084      0.058       0.057      1.0        
  2.973     2.288      0.373     0.09       0.045       0.061      1.0        
  3.367     2.123      -0.221    0.084      0.04        0.057      13.157895  
  3.343     2.273      0.173     0.085      0.036       0.057      1.0        
  3.115     2.15       0.195     0.069      0.081       0.047      1.7391305  
  3.265     2.27       0.259     0.088      0.045       0.059      1.0        
  3.229     2.224      0.181     0.064      0.037       0.043      1.3037809  
  3.579     2.323      -0.083    0.076      0.026       0.051      2.3866348  
  3.198     2.361      0.324     0.049      0.029       0.033      1.0        
  3.41      2.164      0.166     0.091      0.081       0.062      1.0        
  2.977     2.287      0.335     0.088      0.059       0.059      1.112347   
  2.715     2.269      0.598     0.074      0.077       0.05       1.0        
  2.973     2.372      0.271     0.095      0.085       0.064      1.8796992  
  3.14      2.365      0.349     0.087      0.059       0.058      1.0        
  3.009     2.334      0.439     0.082      0.068       0.056      1.0        
  3.298     2.413      0.448     0.048      0.026       0.032      1.0        
  2.858     2.2        0.367     0.075      0.065       0.051      1.3054831  
  3.439     2.156      -0.026    0.077      0.048       0.052      2.5906734  
  2.684     2.096      0.664     0.076      0.072       0.051      1.0        
  3.408     2.194      -0.047    0.092      0.041       0.062      3.3444817  
  3.403     2.088      -0.024    0.082      0.127       0.055      2.8735633  
  2.709     2.247      0.534     0.088      0.074       0.059      1.0        
  3.533     2.298      0.059     0.048      0.016       0.032      1.0604453  
  3.346     2.077      -0.0090   0.056      0.039       0.038      3.1645567  
  2.946     2.277      0.582     0.068      0.031       0.046      1.0        
  3.033     2.421      0.531     0.07       0.029       0.047      1.0        
  2.951     2.077      0.257     0.051      0.064       0.035      1.996008   
  3.247     2.267      0.202     0.062      0.026       0.042      1.0695187  
  2.987     2.298      0.389     0.09       0.067       0.061      1.0        
  3.414     2.465      0.333     0.048      0.013       0.032      1.0        
  2.855     2.105      0.244     0.058      0.094       0.039      3.0674846  
  2.966     2.33       0.532     0.068      0.051       0.046      1.0        
  2.583     2.27       0.598     0.068      0.046       0.046      1.0        
  2.998     2.073      0.264     0.083      0.111       0.056      1.6556292  
  3.489     2.208      0.184     0.048      0.044       0.032      1.0        
  3.123     2.309      0.371     0.048      0.05        0.032      1.0        
  3.352     2.28       0.263     0.081      0.045       0.055      1.0        
  3.292     2.382      0.209     0.072      0.045       0.048      1.0        
  2.75      2.118      0.704     0.048      0.05        0.032      1.0        
  2.796     2.245      0.662     0.069      0.095       0.047      1.0        
  3.013     2.38       0.497     0.076      0.063       0.051      1.0        
  2.897     2.054      0.245     0.09       0.126       0.061      2.617801   
  3.491     2.34       0.12      0.065      0.03        0.044      1.0        
  3.477     2.355      0.382     0.061      0.023       0.041      1.0        
  2.601     2.198      0.695     0.073      0.113       0.049      1.0        
  3.253     2.258      0.263     0.084      0.043       0.057      1.0        
  2.566     2.086      0.692     0.077      0.136       0.052      1.0        
  3.302     2.312      0.091     0.071      0.048       0.048      1.8726592  
  3.407     2.262      -0.192    0.089      0.155       0.06       9.090909   
  3.198     2.256      0.1       0.076      0.049       0.051      2.5252526  
  2.81      2.14       0.505     0.079      0.074       0.053      1.0        
  3.571     2.24       0.12      0.082      0.039       0.056      1.0        
  3.101     2.357      0.41      0.076      0.026       0.051      1.0        
  3.079     2.238      0.356     0.088      0.061       0.06       1.0        
  3.195     2.396      0.383     0.074      0.047       0.05       1.0        
  3.529     2.391      0.109     0.089      0.041       0.06       1.0        
  3.048     2.127      0.205     0.071      0.064       0.048      2.0325203  
  3.44      2.326      0.094     0.048      0.021       0.032      1.1904762  
  2.695     2.056      0.375     0.063      0.076       0.042      2.145923   
  2.646     2.198      0.568     0.084      0.08        0.057      1.0        
  3.141     2.191      0.306     0.048      0.03        0.032      1.0        
  2.999     2.267      0.472     0.08       0.054       0.054      1.0        
  3.252     2.09       0.211     0.091      0.101       0.061      1.010101   
  3.374     2.225      0.168     0.048      0.021       0.032      1.0        
  3.336     2.27       0.188     0.075      0.03        0.051      1.0        
  3.497     2.215      0.06      0.093      0.089       0.063      1.2195122  
  3.179     2.436      0.466     0.069      0.034       0.047      1.0        
  3.149     2.305      0.289     0.092      0.054       0.062      1.0        
  3.311     2.215      0.058     0.082      0.067       0.055      2.2831051  
  3.493     2.33       0.044     0.077      0.024       0.052      1.3513514  
  2.992     2.227      0.333     0.095      0.071       0.064      1.1013216  
  2.669     2.267      0.623     0.081      0.056       0.055      1.0        
  3.258     2.466      0.582     0.05       0.016       0.034      1.0        
  3.29      2.476      0.453     0.064      0.051       0.043      1.0        
  3.166     2.361      0.357     0.048      0.019       0.032      1.0        
  3.108     2.091      0.222     0.048      0.034       0.032      1.5037594  
  2.987     2.249      0.443     0.048      0.036       0.032      1.0        
  3.136     2.245      0.285     0.048      0.019       0.032      1.0        
  2.816     2.073      0.334     0.061      0.054       0.041      1.8552877  
  2.889     2.3        0.448     0.078      0.044       0.053      1.0        
  3.148     2.194      0.402     0.052      0.067       0.035      1.0        
  2.86      2.176      0.527     0.081      0.061       0.055      1.0        
  3.435     2.299      0.092     0.089      0.041       0.06       1.2360939  
  3.088     2.424      0.498     0.069      0.061       0.047      1.0        
  3.19      2.218      0.252     0.085      0.055       0.057      1.0        
  3.341     2.252      0.121     0.093      0.057       0.063      1.4104372  
  3.701     2.297      0.097     0.08       0.05        0.054      1.0        
  3.238     2.146      0.268     0.087      0.123       0.059      1.0        
  3.057     2.224      0.347     0.081      0.064       0.055      1.0        
  2.996     2.264      0.438     0.072      0.045       0.049      1.0        
  3.085     2.235      0.375     0.073      0.033       0.049      1.0        
  2.844     2.204      0.326     0.094      0.086       0.064      1.8484288  
